gemeenteNaamId;gemeenteId;taalCodeGemeenteNaam;gemeenteNaam
389;296;nl;Zingem
390;297;nl;Brakel
391;298;nl;Kluisbergen
392;299;nl;Wortegem-Petegem
393;300;nl;Horebeke
394;301;nl;Lierde
395;302;nl;Maarkedal
396;303;nl;Zwalm
397;304;nl;Beveren
398;305;nl;Kruibeke
399;306;nl;Lokeren
400;307;nl;Sint-Gillis-Waas
401;308;de;Sint-Niklaas
402;308;nl;Sint-Niklaas
403;308;fr;Saint-Nicolas
404;309;nl;Stekene
405;310;de;Temse
406;310;fr;Tamise
407;310;nl;Temse
408;311;fr;Ath
409;311;nl;Aat
410;312;fr;Beloeil
411;313;fr;Bernissart
412;314;fr;Brugelette
413;315;fr;Chièvres
414;316;nl;Elzele
415;316;fr;Ellezelles
416;317;nl;Vloesberg
417;317;fr;Flobecq
418;318;fr;Frasnes-lez-Anvaing
419;319;fr;Chapelle-lez-Herlaimont
420;320;fr;Charleroi
421;321;fr;Châtelet
422;322;fr;Courcelles
423;323;fr;Farciennes
424;324;fr;Fleurus
425;325;fr;Fontaine-l'Evêque
426;326;fr;Gerpinnes
427;327;fr;Manage
428;328;fr;Montigny-le-Tilleul
429;329;fr;Pont-à-Celles
430;330;fr;Seneffe
431;331;fr;Aiseau-Presles
432;332;fr;Les Bons Villers
433;333;fr;Boussu
434;334;fr;Dour
435;335;fr;Frameries
436;336;fr;Hensies
437;337;fr;Jurbise
438;337;nl;Jurbeke
439;338;fr;Lens
440;339;fr;Mons
441;339;nl;Bergen
442;340;fr;Quaregnon
443;341;fr;Quiévrain
444;342;fr;Saint-Ghislain
445;343;fr;Colfontaine
446;344;fr;Honnelles
447;345;fr;Quévy
448;346;nl;Moeskroen
449;346;fr;Mouscron
450;347;fr;Comines-Warneton
451;347;nl;Komen-Waasten
452;348;fr;Braine-le-Comte
453;348;nl;'s Gravenbrakel
454;349;fr;Enghien
455;349;nl;Edingen
456;350;fr;La Louvière
457;351;nl;Lessen
458;351;fr;Lessines
459;352;fr;Le Roeulx
460;353;nl;Opzullik
461;353;fr;Silly
462;354;fr;Soignies
463;354;nl;Zinnik
464;355;fr;Ecaussinnes
465;356;fr;Anderlues
466;357;fr;Beaumont
467;358;fr;Binche
468;359;fr;Chimay
469;360;fr;Erquelinnes
470;361;fr;Froidchapelle
471;362;fr;Lobbes
472;363;fr;Merbes-le-Château
473;364;fr;Momignies
474;365;fr;Thuin
475;366;fr;Estinnes
476;367;fr;Ham-sur-Heure-Nalinnes
477;368;fr;Morlanwelz
478;369;fr;Sivry-Rance
479;370;fr;Antoing
480;371;fr;Celles
481;372;fr;Estaimpuis
482;373;fr;Pecq
483;374;fr;Péruwelz
484;375;fr;Rumes
485;376;nl;Doornik
486;376;fr;Tournai
487;377;fr;Brunehaut
488;378;fr;Leuze-en-Hainaut
489;379;fr;Mont-de-l'Enclus
490;380;fr;Amay
491;381;fr;Burdinne
492;382;fr;Clavier
493;383;fr;Ferrières
494;384;fr;Hamoir
495;385;fr;Héron
496;386;fr;Huy
497;386;nl;Hoei
498;387;fr;Marchin
